"county","tract","bg","cntyname","LandSQMI","afact"
"County code","Tract","Block group","County name","Land area (sq. mi.)","_us_ to bg allocation factor"
"53011","0405.08","2","Clark WA",0.698,0 
"53011","0405.08","3","Clark WA",1.0529,0 
"53011","0405.09","1","Clark WA",0.3318,0 
"53011","0405.09","2","Clark WA",0.3993,0 
"53011","0405.10","1","Clark WA",6.3952,0.0001 
"53011","0405.10","2","Clark WA",5.9239,0.0001 
"53011","0405.10","3","Clark WA",5.8918,0.0001 
"53011","0405.11","1","Clark WA",20.5756,0.0003 
"53011","0405.11","2","Clark WA",12.6938,0.0002 
"53011","0406.03","1","Clark WA",3.1609,0 
"53011","0406.03","2","Clark WA",3.9997,0.0001 
"53011","0406.03","3","Clark WA",10.1918,0.0002 
"53011","0406.03","4","Clark WA",4.1007,0.0001 
"53011","0406.04","1","Clark WA",0.4213,0 
"53011","0406.04","2","Clark WA",2.3368,0 
"53011","0406.04","3","Clark WA",5.773,0.0001 
"53011","0406.05","1","Clark WA",3.77,0.0001 
"53011","0406.05","2","Clark WA",1.7765,0 
"53011","0406.05","3","Clark WA",2.5952,0 
"53011","0406.08","1","Clark WA",1.8312,0 
"53011","0406.08","2","Clark WA",1.8914,0 
"53011","0406.09","1","Clark WA",0.513,0 
"53011","0406.09","2","Clark WA",0.7394,0 
"53011","0406.10","1","Clark WA",0.8034,0 
"53011","0406.10","2","Clark WA",0.3487,0 
"53011","0407.03","1","Clark WA",0.6937,0 
"53011","0407.03","2","Clark WA",0.5531,0 
"53011","0407.03","3","Clark WA",0.2013,0 
"53011","0407.03","4","Clark WA",0.4204,0 
"53011","0407.06","1","Clark WA",0.4157,0 
"53011","0407.06","2","Clark WA",0.3144,0 
"53011","0407.07","1","Clark WA",0.2036,0 
"53011","0407.07","2","Clark WA",0.2144,0 
"53011","0407.07","3","Clark WA",0.2216,0 
"53011","0407.09","1","Clark WA",1.1509,0 
"53011","0407.09","2","Clark WA",3.3396,0.0001 
"53011","0407.10","1","Clark WA",2.7018,0 
"53011","0407.10","2","Clark WA",5.2868,0.0001 
"53011","0407.10","3","Clark WA",2.7738,0 
"53011","0407.11","1","Clark WA",0.4948,0 
"53011","0407.11","2","Clark WA",0.2818,0 
"53011","0407.12","1","Clark WA",0.3786,0 
"53011","0407.12","2","Clark WA",0.1897,0 
"53011","0407.12","3","Clark WA",0.1155,0 
"53011","0407.12","4","Clark WA",0.4435,0 
"53011","0408.03","1","Clark WA",0.4284,0 
"53011","0408.03","2","Clark WA",0.4297,0 
"53011","0408.03","3","Clark WA",0.2769,0 
"53011","0408.03","4","Clark WA",0.3214,0 
"53011","0408.05","1","Clark WA",0.9795,0 
"53011","0408.05","2","Clark WA",0.7174,0 
"53011","0408.05","3","Clark WA",2.3174,0 
"53011","0408.05","4","Clark WA",0.9257,0 
"53011","0408.06","1","Clark WA",0.7311,0 
"53011","0408.06","2","Clark WA",0.1863,0 
"53011","0408.06","3","Clark WA",0.4321,0 
"53011","0408.08","1","Clark WA",1.4303,0 
"53011","0408.09","1","Clark WA",0.1237,0 
"53011","0408.09","2","Clark WA",0.1706,0 
"53011","0408.09","3","Clark WA",0.25,0 
"53011","0408.09","4","Clark WA",0.3382,0 
"53011","0408.10","1","Clark WA",0.3694,0 
"53011","0408.10","2","Clark WA",0.4847,0 
"53011","0409.04","1","Clark WA",0.5955,0 
"53011","0409.04","2","Clark WA",0.424,0 
"53011","0409.04","3","Clark WA",0.2303,0 
"53011","0409.04","4","Clark WA",0.3798,0 
"53011","0409.05","1","Clark WA",6.0687,0.0001 
"53011","0409.05","2","Clark WA",4.0685,0.0001 
"53011","0409.07","1","Clark WA",1.2066,0 
"53011","0409.07","2","Clark WA",0.895,0 
"53011","0409.08","1","Clark WA",0.5597,0 
"53011","0409.08","2","Clark WA",0.2228,0 
"53011","0409.08","3","Clark WA",0.6424,0 
"53011","0409.08","4","Clark WA",0.2681,0 
"53011","0409.09","1","Clark WA",0.8173,0 
"53011","0409.09","2","Clark WA",0.4819,0 
"53011","0409.09","3","Clark WA",0.3295,0 
"53011","0409.10","1","Clark WA",1.9192,0 
"53011","0409.10","2","Clark WA",0.7675,0 
